N,P,K,temperature,humidity,ph,rainfall,label
55.45104933,34.75902257,68.47425484,22.05563494,77.50106295,6.963746617,796.8663676,almond
65.48780389,35.36658984,51.40026067,16.54645661,82.12503744,6.499078327,719.5808974,almond
60.03408971,33.82706433,50.56419505,18.87827914,63.59596102,7.150978776,730.6262274,almond
67.03553998,38.26817131,54.17350587,19.99121088,76.11319625,7.507708026,812.8728384,almond
67.86198123,35.33759241,73.7383195,24.68090891,86.29960808,6.659872251,718.6056489,almond
54.77831138,33.38969242,65.42344812,16.71769516,84.51666601,7.454628841,1046.23565,almond
65.80749802,33.36988234,68.00809281,18.91179901,73.17404726,6.774528993,489.7948441,almond
60.47710825,32.61171277,63.19319884,20.88976561,70.26245246,7.428991655,698.1256182,almond
56.05070717,30.68004615,60.32347752,17.78413302,72.31190481,7.130084423,740.0939695,almond
57.15061372,32.23677113,66.42566879,22.59615319,79.23442899,7.137811634,968.9595115,almond
60.65830518,34.34827427,63.3365168,17.19131008,67.14548343,6.919891534,706.2709058,almond
61.16555341,28.91572554,66.99564928,23.5336151,66.72807928,6.67510611,841.8265371,almond
53.24779253,36.57123666,53.94650616,16.2338568,73.68209953,6.790175013,819.7340545,almond
57.83672695,33.97066641,50.39972368,23.17527268,70.47628724,7.173980522,784.6482119,almond
64.60095994,32.99389764,61.49394988,20.03357974,62.21389694,7.157875796,756.3409008,almond
56.12747911,32.37415096,56.19079889,17.5357791,75.74269295,6.425027389,684.3997883,almond
67.04949006,35.2568043,65.81631438,22.84319612,81.07452252,6.540776877,640.5870787,almond
58.41738693,44.3600284,59.87038573,17.51308892,74.20415312,6.915810616,604.4252954,almond
66.54364918,36.65350279,59.90187828,22.12374781,67.74733165,7.128021816,746.1856127,almond
67.06964543,42.70685498,54.48071281,19.18969484,80.14719587,7.517050659,763.495374,almond
75.43105711,25.66367404,64.57506794,15.69942434,60.9150075,6.702293242,710.9379878,almond
61.58216257,36.36788702,55.17332136,18.57978586,80.0592966,7.033110768,837.6618311,almond
43.65156932,30.49353091,59.27580891,19.85204011,85.94167129,7.0017479,755.4810693,almond
54.84140534,28.77672648,48.14186501,23.9894515,73.86017411,7.060176947,1058.416685,almond
54.49668535,33.39307079,62.75287636,18.49673453,78.5465419,6.855565531,773.7793182,almond
72.54682998,41.72710023,70.62124418,18.6367582,88.03101044,6.969924112,841.1252146,almond
56.99956352,38.11424966,52.88253047,19.62032137,88.62153082,6.543803295,812.4740445,almond
56.75711489,36.03799131,65.89993645,18.761254,60.69815807,6.803545081,849.1202447,almond
76.92460734,37.61976334,56.07942116,19.64426438,70.05591725,6.662631875,556.9333883,almond
67.37552737,38.85819075,55.17773945,26.49026154,72.35522742,7.192357376,726.3113716,almond
69.92696783,39.38912584,57.10899782,19.08717696,60.43633997,7.352808162,544.8137266,almond
60.64663977,37.97578513,54.54519545,25.5796994,68.79632315,7.401640974,610.3896119,almond
62.0727171,42.37678108,65.71773082,19.57349725,63.33592447,6.899225253,749.46767,almond
