Unnamed: 0,Crop,N,P,K,pH,rainfall,temperature,humidity ,,,,,,,
10182,barley,70,40,45,5.54,75.32,22.676,83.67990891,,,,,,apple,92.33338288
16280,sunflower,50,60,30,5.54,297.66,29.56666667,50.59023438,,,,,,banana,80.35812258
54944,sweetpotato,90,20,120,5.02,689.88,29.03727273,81.53893093,,,,,,barley,83.67990891
98212,rice,80,40,40,5.66,297.66,29.56666667,82.27282154,,,,,,bittergourd,93.19222141
52108,soyabean,20,60,20,5.38,1011.49,30.43,48.43839821,,,,,,blackgram,65.11842559
26970,jowar,80,40,40,5.52,1246.715,22.6,83.6912729,,,,,,blackpepper,80.74631724
25754,potato,180,60,90,5.08,1026.64,29.18636364,78.95371989,,,,,,bottlegourd,83.0374589
56970,rice,80,40,40,5.4,840.46,33.58333333,82.27282154,,,,,,brinjal,80.74756245
96996,turmeric,25,60,100,4.84,1050.245,18.77818182,80.86305427,,,,,,cabbage,82.58697797
85334,jute,80,40,40,5.5,1166.94,28.33333333,79.63986421,,,,,,cardamom,83.00331663
78136,rice,80,40,40,5.52,182.5,29.2,82.27282154,,,,,,cauliflower,82.9202
53116,turmeric,25,60,100,5,1426.3,26.73636364,80.86305427,,,,,,chickpea,16.86043942
34975,potato,180,60,90,5.1,1111.68,28.64818182,78.95371989,,,,,,coconut,94.84427181
11386,maize,80,40,20,5.32,1543.76,27.33333333,65.09224945,,,,,,coffee,58.8698463
86852,maize,80,40,20,5.5,98.98,34.92333333,65.09224945,,,,,,coriander,85.21199775
84135,moong,20,40,20,5.56,1220.22,27.26666667,85.49997454,,,,,,cotton,79.84347425
43191,onion,120,60,65,6.14,1603.2375,22.89090909,81.80738171,,,,,,cucumber,86.05565133
56641,turmeric,25,60,100,5.1,2169.32,23.73636364,80.86305427,,,,,,drumstick,91.7125749
98407,onion,120,60,65,5.94,98.94,25.574,81.80738171,,,,,,garlic,87.04405082
89586,moong,20,40,20,5.6,207.55,26.43333333,85.49997454,,,,,,grapes,81.87522752
43620,cabbage,100,65,70,6.62,1111.68,28.64818182,82.58697797,,,,,,horsegram,53.04408395
149,ragi,50,40,20,5.62,654.34,29.26666667,80.86078808,,,,,,jackfruit,83.27393098
62966,barley,70,40,45,5.5,169.82,14.6,83.67990891,,,,,,jute,79.63986421
72395,banana,100,75,50,6.58,810.26,29.95636364,80.35812258,,,,,,kidneybeans,21.60535673
66119,rice,80,40,40,5.48,1997.12,27,82.27282154,,,,,,lentil,64.80478468
34476,jowar,80,40,40,5.52,1246.715,22.6,83.6912729,,,,,,maize,65.09224945
63279,maize,80,40,20,5.5,654.34,29.26666667,65.09224945,,,,,,mango,50.1565727
28012,barley,70,40,45,5.4,73.47,23.562,83.67990891,,,,,,mothbeans,53.16041803
51485,moong,20,40,20,5.64,199.2125,21.3,85.49997454,,,,,,moong,85.49997454
31451,rice,80,40,40,5.34,288.3,25.46,82.27282154,,,,,,muskmelon,92.34280196
80584,onion,120,60,65,6.14,199.2125,21.3,81.80738171,,,,,,ladyfinger,80.7869138
28852,barley,70,40,45,5.46,70.598,18.92,83.67990891,,,,,,onion,81.80738171
51853,rapeseed,50,40,20,4.98,73.47,23.562,67.94262421,,,,,,orange,92.17020876
9672,banana,100,75,50,6.36,884.5,27.65454545,80.35812258,,,,,,papaya,92.40338768
47840,onion,120,60,65,6.16,75.32,22.676,81.80738171,,,,,,pigeonpeas,48.06163308
14423,jowar,80,40,40,5.64,607.48,26.36666667,83.6912729,,,,,,pineapple,82.35223047
49951,wheat,60,30,30,6.9,87.2,23.106,69.69871028,,,,,,pomegranate,90.12550379
40471,moong,20,40,20,5.36,127.68,20.8,85.49997454,,,,,,potato,78.95371989
1349,onion,120,60,65,6.14,810.26,29.95636364,81.80738171,,,,,,pumpkin,83.88524631
40393,rice,80,40,40,5.5,1712.66,11.2,82.27282154,,,,,,radish,90.19617356
66622,jute,80,40,40,5.52,1011.49,30.43,79.63986421,,,,,,ragi,80.86078808
42575,sunflower,50,60,30,5.58,199.2125,21.3,50.59023438,,,,,,rapeseed,67.94262421
